product_id,product_name,brand_id,category,subcategory,base_price,weight_kg
1,Juliet Ultra,10,Sports,Standard,278.53,2.99
2,Alpha Select,7,Sports,Premium,298.98,7.94
3,Alpha Lite,9,Home,Budget,424.89,7.9
4,Alpha Eco,2,Sports,Budget,77.0,1.43
5,Foxtrot Max,8,Sports,Standard,206.21,14.73
6,Foxtrot Pro,10,Food,Standard,455.42,8.61
7,Alpha Pro,1,Food,Premium,26.31,0.2
8,Alpha Prime,4,Sports,Budget,412.23,11.61
9,Golf Prime,7,Food,Premium,210.61,14.68
10,Delta Lite,2,Sports,Standard,415.74,8.89
11,India Max,6,Sports,Premium,9.92,4.86
12,Foxtrot Pure,7,Sports,Premium,185.69,2.89
13,Juliet Pure,8,Electronics,Standard,43.91,10.12
14,Echo Prime,10,Food,Premium,328.03,3.01
15,Kilo Prime,5,Clothing,Budget,140.55,8.71
16,Juliet Prime,5,Sports,Budget,352.8,9.07
17,India Max,5,Electronics,Standard,472.17,14.44
18,Juliet Ultra,10,Sports,Premium,67.76,1.18
19,Golf Prime,2,Electronics,Budget,433.06,7.55
20,Juliet Lite,5,Sports,Standard,34.42,11.19
21,Echo Eco,1,Electronics,Standard,193.47,2.74
22,Foxtrot Max,5,Clothing,Standard,217.73,5.88
23,India Pure,10,Electronics,Standard,246.97,1.04
24,Alpha Pure,7,Electronics,Budget,488.34,10.92
25,Golf Eco,4,Sports,Standard,388.96,1.41
26,Hotel Lite,10,Sports,Standard,157.87,5.99
27,Delta Eco,7,Food,Standard,138.56,13.12
28,India Lite,10,Sports,Standard,432.23,7.14
29,Golf Eco,1,Sports,Budget,441.24,13.7
30,India Max,5,Electronics,Standard,257.79,11.51
31,Echo Pure,9,Clothing,Budget,175.42,13.74
32,Delta Ultra,8,Clothing,Premium,497.47,2.0
33,India Lite,5,Home,Budget,161.38,1.2
34,Alpha Pro,5,Clothing,Premium,95.43,1.15
35,Echo Select,5,Food,Budget,440.64,13.05
36,Foxtrot Select,6,Sports,Budget,407.1,9.55
37,Echo Ultra,3,Home,Standard,335.6,7.5
38,India Pure,8,Food,Premium,479.4,2.54
39,Alpha Pro,1,Sports,Premium,463.22,10.14
40,Hotel Eco,5,Home,Standard,375.37,4.84
41,Golf Ultra,3,Food,Premium,431.04,10.69
42,Juliet Max,8,Home,Premium,127.33,6.96
43,Juliet Select,8,Clothing,Premium,74.91,7.66
44,India Ultra,8,Food,Budget,336.67,11.87
45,India Pro,10,Sports,Budget,358.73,1.48
46,Golf Max,10,Home,Premium,87.68,8.72
47,Kilo Ultra,2,Electronics,Budget,200.79,3.04
48,Kilo Pro,2,Food,Budget,455.57,12.14
49,Hotel Lite,2,Food,Premium,282.88,7.38
50,Juliet Eco,8,Home,Premium,291.27,14.83
